Basis DSP Ad > Device Type Report -- Guinness ISD 3
Date Range: 11/11/2020 to 11/30/2020

Campaign ID,Campaign Name,Start Date,End Date,Ad ID,Ad Label,Device Type,Imps. Won,Clicks,CTR,Total eCPM,Total eCPC,Total eCPA,CTC,VTC,Total Conversions,CTC Revenue,VTC Revenue,Total Revenue,Media Spend,Data Spend,Total Spend,Audio/Video Starts,25% Complete,50% Complete,75% Complete,100% Complete,Completion Rate,eCPCV,Companion Imps. Won,Companion Clicks,Companion CTC,Companion CTC Revenue
1111,Guinness ISD Cyaan Stall,11/11/20,11/30/20,4588444,Cyaan Stall 3,TABLET,5716,31,0.54%,$4.51 ,$0.83 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$21.43 ,$4.34 ,$25.77 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1111,Guinness ISD Cyaan Stall,11/11/20,11/30/20,4592334,Cyaan Stall 5,PHONE,51923,139,0.27%,$4.89 ,$1.83 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$214.01 ,$39.73 ,$253.74 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1111,Guinness ISD Delivery Endz,11/11/20,11/30/20,4588439,Stouts Day-Delivery Ends 3,DESKTOP,19699,22,0.11%,$4.79 ,$4.29 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$79.54 ,$14.83 ,$94.36 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1111,Guinness ISD Shoppable,11/11/20,11/30/20,4588540,Shoppable 1,TABLET,35,0,0.00%,$3.93 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.11 ,$0.03 ,$0.14 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1111,Guinness ISD Shoppable,11/11/20,11/30/20,4588549,Shoppable 3,DESKTOP,10409,10,0.10%,$4.55 ,$4.74 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$39.55 ,$7.84 ,$47.39 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1111,Guinness ISD Cyaan Stall,11/11/20,11/30/20,4588444,Cyaan Stall 3,DESKTOP,16492,22,0.13%,$4.53 ,$3.39 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$62.25 ,$12.41 ,$74.66 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1111,Guinness ISD Cool Market,11/11/20,11/30/20,4588433,Guinness Cool Market 1,DESKTOP,4774,0,0.00%,$4.41 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$17.48 ,$3.58 ,$21.06 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1111,Guinness ISD Cool Market,11/11/20,11/30/20,4592346,Cool Market 5,PHONE,112261,259,0.23%,$4.80 ,$2.08 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$452.28 ,$86.38 ,$538.66 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1111,Guinness ISD Cyaan Stall,11/11/20,11/30/20,4588444,Cyaan Stall 3,PHONE,2001,4,0.20%,$4.76 ,$2.38 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$8.03 ,$1.50 ,$9.53 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1111,Guinness ISD Cool Market,11/11/20,11/30/20,4588433,Guinness Cool Market 1,PHONE,4562,7,0.15%,$4.87 ,$3.17 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$18.78 ,$3.44 ,$22.22 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
