SiteScout RTB AD_DEVICE_TYPE Report -- AD_DEVICE_TYPE_DAILY_CAMPAIGN_report_30.csv
Date Range: 10/1/2023 to 10/31/2023

Date,Campaign ID,Campaign Name,Start Date,End Date,Ad ID,Ad Label,Device Type,Imps. Won,Clicks,CTR,Total eCPM,Total eCPC,Total eCPA,CTC,VTC,Total Conversions,CTC Revenue,VTC Revenue,Total Revenue,Media Spend,Data Spend,Total Spend,Audio/Video Starts,25% Complete,50% Complete,75% Complete,100% Complete,Completion Rate,eCPCV,Companion Imps. Won,Companion Clicks,Companion CTC,Companion CTC Revenue
10/1/2023,1111,LANDAIRSEA002CP_[CPC]_Display_|BT|(DNB: Job Titles)_Oct_Geo(US),10/1/2023,10/2/2023,7106897,LANDAIRSEA002CP_[CPC]_Display_|BT|(DNB: Job Titles)_Oct_Geo(US)_300x250,DESKTOP,1943,0,0.00%,$4.64 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$2.58 ,$6.43 ,$9.01 ,0,0,0,0,0,0.00%,$0.00 ,0,0,0,$0.00 
10/2/2023,1111,LANDAIRSEA002CP_[CPC]_Display_|BT|(DNB: Job Titles)_Oct_Geo(US),10/1/2023,10/2/2023,7106897,LANDAIRSEA002CP_[CPC]_Display_|BT|(DNB: Job Titles)_Oct_Geo(US)_300x250,DESKTOP,1046,0,0.00%,$4.64 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$1.39 ,$3.46 ,$4.86 ,0,0,0,0,0,0.00%,$0.00 ,0,0,0,$0.00 
10/1/2023,1111,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US),10/1/2023,10/2/2023,7106904,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US)_300x250,DESKTOP,2015,2,0.10%,$3.62 ,$3.65 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$2.64 ,$4.65 ,$7.29 ,0,0,0,0,0,0.00%,$0.00 ,0,0,0,$0.00 
10/2/2023,1111,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US),10/1/2023,10/2/2023,7106904,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US)_300x250,DESKTOP,1119,0,0.00%,$3.63 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$1.48 ,$2.58 ,$4.06 ,0,0,0,0,0,0.00%,$0.00 ,0,0,0,$0.00 
10/1/2023,1111,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US),10/1/2023,10/2/2023,7106905,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US)_300x50,DESKTOP,243,0,0.00%,$3.63 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.32 ,$0.56 ,$0.88 ,0,0,0,0,0,0.00%,$0.00 ,0,0,0,$0.00 
10/2/2023,1111,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US),10/1/2023,10/2/2023,7106905,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US)_300x50,DESKTOP,149,0,0.00%,$3.63 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.20 ,$0.34 ,$0.54 ,0,0,0,0,0,0.00%,$0.00 ,0,0,0,$0.00 
10/1/2023,1111,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US),10/1/2023,10/2/2023,7106906,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US)_300x600,DESKTOP,193,1,0.52%,$3.65 ,$0.71 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.26 ,$0.45 ,$0.71 ,0,0,0,0,0,0.00%,$0.00 ,0,0,0,$0.00 
10/2/2023,1111,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US),10/1/2023,10/2/2023,7106906,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US)_300x600,DESKTOP,118,0,0.00%,$3.63 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.16 ,$0.27 ,$0.43 ,0,0,0,0,0,0.00%,$0.00 ,0,0,0,$0.00 
10/1/2023,1111,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US),10/1/2023,10/2/2023,7106907,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US)_970x90,DESKTOP,154,0,0.00%,$3.62 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.20 ,$0.36 ,$0.56 ,0,0,0,0,0,0.00%,$0.00 ,0,0,0,$0.00 
10/2/2023,1111,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US),10/1/2023,10/2/2023,7106907,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US)_970x90,DESKTOP,86,0,0.00%,$3.61 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.11 ,$0.20 ,$0.31 ,0,0,0,0,0,0.00%,$0.00 ,0,0,0,$0.00 
