SiteScout RTB Domains > Exchanges > Placements Report -- DOMAIN_APP_WITH_STORE_PER_EXCHANGE_PER_PLACEMENT_DAILY_BRAND_report_21_with_pixels.csv
Date Range: 10/1/2023 to 10/2/2023

Date,Brand ID,Brand Name,Group ID,Group Name,Campaign ID,Campaign Name,Start Date,End Date,Domain/App ID,App/Domain Name,App Store,Exchange ID,Exchange Name,Size,Page Position,Imps. Won,Clicks,CTR,Total eCPM,Total eCPC,Total eCPA,CTC,VTC,Total Conversions,Click CVR,View CVR,Total CVRM,CTC Revenue,VTC Revenue,Total Revenue,Media Spend,Data Spend,Total Spend,Audio/Video Starts,25% Complete,50% Complete,75% Complete,100% Complete,Completion Rate,eCPCV,Companion Imps. Won,Companion Clicks,Companion CTC,Companion CTC Revenue,SO Outlet - Main LPV [166435] - CTC,SO Outlet - Main LPV [166435] - VTC,SO Outlet - Main LPV [166435] - Total Conversions,SO Outlet - Store Locator LPV [166436] - CTC,SO Outlet - Store Locator LPV [166436] - VTC,SO Outlet - Store Locator LPV [166436] - Total Conversions
2023-10-01,111970,35ae0e48-630c-4f57-b46f-84503a8152fd - LandAirSea,611183,LANDAIRSEA002CP_[CPA]_Display_Oct_Geo(US),2648356,LANDAIRSEA002CP_[CPC]_Display_|RT|(Site)_Oct_Geo(US),2023-10-01,2023-10-02,[No Domain/App ID],[No App/Domain Name],[No App Store],1,Magnite DV+ (Rubicon),160x600,UNKNOWN,1,0,%0.0000,$3.134020,$0.000000,$0.000000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,$0.002324,$0.000810,$0.003134,0,0,0,0,0,%0.0000,-,0,0,0,$0.000000,0,0,0,0,0,0
2023-10-01,111970,35ae0e48-630c-4f57-b46f-84503a8152fd - LandAirSea,611183,LANDAIRSEA002CP_[CPA]_Display_Oct_Geo(US),2648357,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US),2023-10-01,2023-10-02,[No Domain/App ID],[No App/Domain Name],[No App Store],1,Magnite DV+ (Rubicon),160x600,ABOVE_THE_FOLD,1,0,%0.0000,$3.690720,$0.000000,$0.000000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,$0.001381,$0.002310,$0.003691,0,0,0,0,0,%0.0000,-,0,0,0,$0.000000,0,0,0,0,0,0
2023-10-01,111970,35ae0e48-630c-4f57-b46f-84503a8152fd - LandAirSea,611183,LANDAIRSEA002CP_[CPA]_Display_Oct_Geo(US),2648357,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US),2023-10-01,2023-10-02,[No Domain/App ID],[No App/Domain Name],[No App Store],1,Magnite DV+ (Rubicon),160x600,ABOVE_THE_FOLD,1,0,%0.0000,$3.608250,$0.000000,$0.000000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,$0.001298,$0.002310,$0.003608,0,0,0,0,0,%0.0000,-,0,0,0,$0.000000,0,0,0,0,0,0
2023-10-01,111970,35ae0e48-630c-4f57-b46f-84503a8152fd - LandAirSea,611183,LANDAIRSEA002CP_[CPA]_Display_Oct_Geo(US),2648357,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US),2023-10-01,2023-10-02,[No Domain/App ID],[No App/Domain Name],[No App Store],1,Magnite DV+ (Rubicon),160x600,ABOVE_THE_FOLD,1,0,%0.0000,$3.639180,$0.000000,$0.000000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,$0.001329,$0.002310,$0.003639,0,0,0,0,0,%0.0000,-,0,0,0,$0.000000,0,0,0,0,0,0
2023-10-01,111970,35ae0e48-630c-4f57-b46f-84503a8152fd - LandAirSea,611183,LANDAIRSEA002CP_[CPA]_Display_Oct_Geo(US),2648357,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US),2023-10-01,2023-10-02,[No Domain/App ID],[No App/Domain Name],[No App Store],1,Magnite DV+ (Rubicon),160x600,ABOVE_THE_FOLD,1,0,%0.0000,$3.680410,$0.000000,$0.000000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,$0.001370,$0.002310,$0.003680,0,0,0,0,0,%0.0000,-,0,0,0,$0.000000,0,0,0,0,0,0
2023-10-01,111970,35ae0e48-630c-4f57-b46f-84503a8152fd - LandAirSea,611183,LANDAIRSEA002CP_[CPA]_Display_Oct_Geo(US),2648357,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US),2023-10-01,2023-10-02,[No Domain/App ID],[No App/Domain Name],[No App Store],1,Magnite DV+ (Rubicon),160x600,UNKNOWN,1,0,%0.0000,$3.649480,$0.000000,$0.000000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,$0.001339,$0.002310,$0.003649,0,0,0,0,0,%0.0000,-,0,0,0,$0.000000,0,0,0,0,0,0
2023-10-01,111970,35ae0e48-630c-4f57-b46f-84503a8152fd - LandAirSea,611183,LANDAIRSEA002CP_[CPA]_Display_Oct_Geo(US),2648357,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US),2023-10-01,2023-10-02,[No Domain/App ID],[No App/Domain Name],[No App Store],1,Magnite DV+ (Rubicon),160x600,UNKNOWN,1,0,%0.0000,$3.474230,$0.000000,$0.000000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,$0.001164,$0.002310,$0.003474,0,0,0,0,0,%0.0000,-,0,0,0,$0.000000,0,0,0,0,0,0
2023-10-01,111970,35ae0e48-630c-4f57-b46f-84503a8152fd - LandAirSea,611183,LANDAIRSEA002CP_[CPA]_Display_Oct_Geo(US),2648357,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US),2023-10-01,2023-10-02,[No Domain/App ID],[No App/Domain Name],[No App Store],1,Magnite DV+ (Rubicon),160x600,UNKNOWN,3,0,%0.0000,$3.663227,$0.000000,$0.000000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,$0.004060,$0.006930,$0.010990,0,0,0,0,0,%0.0000,-,0,0,0,$0.000000,0,0,0,0,0,0
2023-10-01,111970,35ae0e48-630c-4f57-b46f-84503a8152fd - LandAirSea,611183,LANDAIRSEA002CP_[CPA]_Display_Oct_Geo(US),2648358,LANDAIRSEA002CP_[CPC]_Display_|BT|(DNB: Job Titles)_Oct_Geo(US),2023-10-01,2023-10-02,[No Domain/App ID],[No App/Domain Name],[No App Store],1,Magnite DV+ (Rubicon),160x600,ABOVE_THE_FOLD,1,0,%0.0000,$4.680410,$0.000000,$0.000000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,$0.001370,$0.003310,$0.004680,0,0,0,0,0,%0.0000,-,0,0,0,$0.000000,0,0,0,0,0,0
2023-10-01,111970,35ae0e48-630c-4f57-b46f-84503a8152fd - LandAirSea,611183,LANDAIRSEA002CP_[CPA]_Display_Oct_Geo(US),2648358,LANDAIRSEA002CP_[CPC]_Display_|BT|(DNB: Job Titles)_Oct_Geo(US),2023-10-01,2023-10-02,[No Domain/App ID],[No App/Domain Name],[No App Store],1,Magnite DV+ (Rubicon),160x600,ABOVE_THE_FOLD,1,0,%0.0000,$4.742270,$0.000000,$0.000000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,$0.001432,$0.003310,$0.004742,0,0,0,0,0,%0.0000,-,0,0,0,$0.000000,0,0,0,0,0,0
2023-10-01,111970,35ae0e48-630c-4f57-b46f-84503a8152fd - LandAirSea,611183,LANDAIRSEA002CP_[CPA]_Display_Oct_Geo(US),2648358,LANDAIRSEA002CP_[CPC]_Display_|BT|(DNB: Job Titles)_Oct_Geo(US),2023-10-01,2023-10-02,[No Domain/App ID],[No App/Domain Name],[No App Store],1,Magnite DV+ (Rubicon),160x600,ABOVE_THE_FOLD,1,0,%0.0000,$4.618560,$0.000000,$0.000000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,$0.001309,$0.003310,$0.004619,0,0,0,0,0,%0.0000,-,0,0,0,$0.000000,0,0,0,0,0,0
2023-10-01,111970,35ae0e48-630c-4f57-b46f-84503a8152fd - LandAirSea,611183,LANDAIRSEA002CP_[CPA]_Display_Oct_Geo(US),2648358,LANDAIRSEA002CP_[CPC]_Display_|BT|(DNB: Job Titles)_Oct_Geo(US),2023-10-01,2023-10-02,[No Domain/App ID],[No App/Domain Name],[No App Store],1,Magnite DV+ (Rubicon),160x600,ABOVE_THE_FOLD,2,0,%0.0000,$4.634025,$0.000000,$0.000000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,$0.002648,$0.006620,$0.009268,0,0,0,0,0,%0.0000,-,0,0,0,$0.000000,0,0,0,0,0,0
2023-10-01,111970,35ae0e48-630c-4f57-b46f-84503a8152fd - LandAirSea,611183,LANDAIRSEA002CP_[CPA]_Display_Oct_Geo(US),2648358,LANDAIRSEA002CP_[CPC]_Display_|BT|(DNB: Job Titles)_Oct_Geo(US),2023-10-01,2023-10-02,[No Domain/App ID],[No App/Domain Name],[No App Store],1,Magnite DV+ (Rubicon),160x600,UNKNOWN,1,0,%0.0000,$4.721650,$0.000000,$0.000000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,$0.001412,$0.003310,$0.004722,0,0,0,0,0,%0.0000,-,0,0,0,$0.000000,0,0,0,0,0,0
